2017-07-31 21:44:32,147 |ttp-bio-8080-exec-13 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:45:35,101 |http-bio-8080-exec-8 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 21:45:35,328 |http-bio-8080-exec-8 |Formula1Helper                |I| Connected database successfully...
2017-07-31 21:45:35,335 |http-bio-8080-exec-8 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:45:35,335 |http-bio-8080-exec-8 |Formula1Helper                |I| =======date========2017-06-14T18:30:00.000Z
2017-07-31 21:45:35,336 |http-bio-8080-exec-8 |Formula1Helper                |I| =======date========2017-08-03T18:30:00.000Z
2017-07-31 21:47:11,532 |http-bio-8080-exec-6 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 21:47:11,537 |http-bio-8080-exec-6 |Formula1Helper                |I| Connected database successfully...
2017-07-31 21:47:11,538 |http-bio-8080-exec-6 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:47:11,539 |http-bio-8080-exec-6 |Formula1Helper                |I| =======date========2017-06-14T18:30:00.000Z
2017-07-31 21:47:11,540 |http-bio-8080-exec-6 |Formula1Helper                |I| =======date========2017-08-03T18:30:00.000Z
2017-07-31 21:47:27,908 |http-bio-8080-exec-5 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 21:47:27,911 |http-bio-8080-exec-5 |Formula1Helper                |I| Connected database successfully...
2017-07-31 21:47:27,912 |http-bio-8080-exec-5 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 21:47:27,912 |http-bio-8080-exec-5 |Formula1Helper                |I| =======date========2017-06-14T18:30:00.000Z
2017-07-31 21:47:27,916 |http-bio-8080-exec-5 |Formula1Helper                |I| =======date========2017-08-03T18:30:00.000Z
2017-07-31 22:29:14,305 |http-bio-8080-exec-8 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:29:14,316 |http-bio-8080-exec-8 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:29:14,322 |http-bio-8080-exec-8 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 22:29:14,323 |http-bio-8080-exec-8 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:29:14,326 |http-bio-8080-exec-8 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:29:14,327 |http-bio-8080-exec-8 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 22:29:14,328 |http-bio-8080-exec-8 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:29:14,331 |http-bio-8080-exec-8 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:29:14,331 |http-bio-8080-exec-8 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 22:29:14,333 |http-bio-8080-exec-8 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:29:14,335 |http-bio-8080-exec-8 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:29:14,335 |http-bio-8080-exec-8 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 22:29:17,464 |ttp-bio-8080-exec-10 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:29:17,467 |ttp-bio-8080-exec-10 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:29:17,469 |ttp-bio-8080-exec-10 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 22:29:17,469 |ttp-bio-8080-exec-10 |Formula1Helper                |I| =======date========2017-06-14T18:30:00.000Z
2017-07-31 22:29:17,469 |ttp-bio-8080-exec-10 |Formula1Helper                |I| =======date========2017-08-03T18:30:00.000Z
2017-07-31 22:29:19,186 |http-bio-8080-exec-1 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:29:19,193 |http-bio-8080-exec-1 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:29:19,194 |http-bio-8080-exec-1 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 22:29:19,195 |http-bio-8080-exec-1 |Formula1Helper                |I| =======date========2017-06-14T18:30:00.000Z
2017-07-31 22:29:19,196 |http-bio-8080-exec-1 |Formula1Helper                |I| =======date========2017-08-03T18:30:00.000Z
2017-07-31 22:29:26,278 |http-bio-8080-exec-8 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:29:26,284 |http-bio-8080-exec-8 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:29:44,055 |http-bio-8080-exec-3 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:29:44,062 |http-bio-8080-exec-3 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:29:49,382 |http-bio-8080-exec-3 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:29:49,382 |http-bio-8080-exec-5 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:29:49,385 |http-bio-8080-exec-5 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:29:49,385 |http-bio-8080-exec-3 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:29:49,386 |http-bio-8080-exec-5 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 22:29:49,386 |http-bio-8080-exec-3 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 22:29:49,386 |http-bio-8080-exec-5 |Formula1Helper                |I| =========f1ScheduleMap========={date=2017-06-18T18:30:00.000Z, country=India, race_type_id=MAINRACE, city=Noida, name=Indian Grand Prix, time=2017-06-18T06:00:06.564Z, formula_one_id=1}
2017-07-31 22:29:49,386 |http-bio-8080-exec-3 |Formula1Helper                |I| =========f1ScheduleMap========={date=2017-06-18T18:30:00.000Z, country=India, race_type_id=MAINRACE, city=Noida, name=Indian Grand Prix, time=2017-06-18T06:00:06.564Z, formula_one_id=1}
2017-07-31 22:29:49,386 |http-bio-8080-exec-5 |Formula1Helper                |I| =======date========2017-06-18T18:30:00.000Z
2017-07-31 22:29:49,386 |http-bio-8080-exec-3 |Formula1Helper                |I| =======date========2017-06-18T18:30:00.000Z
2017-07-31 22:29:49,388 |http-bio-8080-exec-3 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:29:49,388 |http-bio-8080-exec-5 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:29:49,391 |http-bio-8080-exec-5 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:29:49,392 |http-bio-8080-exec-5 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 22:29:49,393 |http-bio-8080-exec-5 |Formula1Helper                |I| =======date========2017-06-17T18:30:00.000Z
2017-07-31 22:29:49,393 |http-bio-8080-exec-5 |Formula1Helper                |I| =========f1ScheduleMap========={date=2017-08-01T18:30:00.000Z, country=null, race_type_id=MAINRACE, city=null, name=Australian Grand Prix, time=2017-06-20T17:30:45.492Z, formula_one_id=2}
2017-07-31 22:29:49,394 |http-bio-8080-exec-5 |Formula1Helper                |I| =======date========2017-08-01T18:30:00.000Z
2017-07-31 22:29:49,394 |http-bio-8080-exec-3 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:29:49,396 |http-bio-8080-exec-3 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 22:29:49,397 |http-bio-8080-exec-3 |Formula1Helper                |I| =======date========2017-06-17T18:30:00.000Z
2017-07-31 22:29:49,397 |http-bio-8080-exec-5 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:29:49,397 |http-bio-8080-exec-3 |Formula1Helper                |I| =========f1ScheduleMap========={date=2017-08-01T18:30:00.000Z, country=null, race_type_id=MAINRACE, city=null, name=Australian Grand Prix, time=2017-06-20T17:30:45.492Z, formula_one_id=2}
2017-07-31 22:29:49,397 |http-bio-8080-exec-3 |Formula1Helper                |I| =======date========2017-08-01T18:30:00.000Z
2017-07-31 22:29:49,403 |http-bio-8080-exec-3 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:29:49,407 |http-bio-8080-exec-3 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:29:49,616 |http-bio-8080-exec-3 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 22:29:49,620 |http-bio-8080-exec-5 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:29:49,620 |http-bio-8080-exec-5 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 22:30:51,249 |http-bio-8080-exec-2 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:30:51,251 |http-bio-8080-exec-2 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:30:51,252 |http-bio-8080-exec-2 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 22:30:51,253 |http-bio-8080-exec-2 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:30:51,259 |http-bio-8080-exec-2 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:30:51,261 |http-bio-8080-exec-2 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 22:30:51,261 |http-bio-8080-exec-2 |Formula1Helper                |I| =======date========2017-06-29T18:30:00.000Z
2017-07-31 22:30:51,262 |http-bio-8080-exec-2 |Formula1Helper                |I| =======date========2017-06-14T18:30:00.000Z
2017-07-31 22:30:51,262 |http-bio-8080-exec-2 |Formula1Helper                |I| =======date========2017-07-06T18:30:00.000Z
2017-07-31 22:30:51,263 |http-bio-8080-exec-2 |Formula1Helper                |I| =======date========2017-08-03T18:30:00.000Z
2017-07-31 22:30:51,263 |http-bio-8080-exec-2 |Formula1Helper                |I| =======date========2017-07-12T18:30:00.000Z
2017-07-31 22:31:14,442 |http-bio-8080-exec-1 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:31:14,448 |http-bio-8080-exec-1 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:31:14,466 |http-bio-8080-exec-9 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:31:14,475 |http-bio-8080-exec-9 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:31:14,476 |http-bio-8080-exec-9 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 22:31:14,477 |http-bio-8080-exec-9 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:31:14,487 |http-bio-8080-exec-9 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:31:14,488 |http-bio-8080-exec-9 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 22:31:14,488 |http-bio-8080-exec-9 |Formula1Helper                |I| =======date========2017-06-29T18:30:00.000Z
2017-07-31 22:31:14,489 |http-bio-8080-exec-9 |Formula1Helper                |I| =======date========2017-08-30T18:30:00.000Z
2017-07-31 22:31:14,489 |http-bio-8080-exec-9 |Formula1Helper                |I| =======date========2017-07-06T18:30:00.000Z
2017-07-31 22:31:14,489 |http-bio-8080-exec-9 |Formula1Helper                |I| =======date========2017-08-03T18:30:00.000Z
2017-07-31 22:31:14,489 |http-bio-8080-exec-9 |Formula1Helper                |I| =======date========2017-07-12T18:30:00.000Z
2017-07-31 22:31:21,610 |http-bio-8080-exec-1 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:31:21,616 |http-bio-8080-exec-1 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:31:21,618 |http-bio-8080-exec-1 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 22:31:21,620 |http-bio-8080-exec-1 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:31:21,622 |http-bio-8080-exec-1 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:31:21,623 |http-bio-8080-exec-1 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 22:31:21,623 |http-bio-8080-exec-1 |Formula1Helper                |I| =======date========2017-06-29T18:30:00.000Z
2017-07-31 22:31:21,623 |http-bio-8080-exec-1 |Formula1Helper                |I| =======date========2017-08-30T18:30:00.000Z
2017-07-31 22:31:21,623 |http-bio-8080-exec-1 |Formula1Helper                |I| =======date========2017-07-06T18:30:00.000Z
2017-07-31 22:31:21,624 |http-bio-8080-exec-1 |Formula1Helper                |I| =======date========2017-08-03T18:30:00.000Z
2017-07-31 22:31:21,624 |http-bio-8080-exec-1 |Formula1Helper                |I| =======date========2017-07-12T18:30:00.000Z
2017-07-31 22:31:27,194 |http-bio-8080-exec-7 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:31:27,198 |http-bio-8080-exec-7 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:31:27,199 |http-bio-8080-exec-7 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 22:31:27,200 |http-bio-8080-exec-7 |Formula1Helper                |I| =======date========2017-06-29T18:30:00.000Z
2017-07-31 22:31:27,200 |http-bio-8080-exec-7 |Formula1Helper                |I| =======date========2017-07-06T18:30:00.000Z
2017-07-31 22:31:27,201 |http-bio-8080-exec-7 |Formula1Helper                |I| =======date========2017-07-12T18:30:00.000Z
2017-07-31 22:31:31,571 |http-bio-8080-exec-7 |Formula1Helper                |I| Connecting to nextrr_db database...
2017-07-31 22:31:31,574 |http-bio-8080-exec-7 |Formula1Helper                |I| Connected database successfully...
2017-07-31 22:31:31,577 |http-bio-8080-exec-7 |Formula1Helper                |I| Data Fetched Successfully!!
2017-07-31 22:31:31,578 |http-bio-8080-exec-7 |Formula1Helper                |I| =======date========2017-08-30T18:30:00.000Z
2017-07-31 22:31:31,578 |http-bio-8080-exec-7 |Formula1Helper                |I| =======date========2017-08-03T18:30:00.000Z
